price,beds,baths,prop_type,address,link
4416,3,2,House,"1 Serpentine Mews, Serpentine Park, Sandymount, Dublin 4",N/A
6000,4,4,House,"31 Garville Lane, Rathgar, Dublin 6",N/A
4599,3,3,House,"Shandon Park, Monkstown, Co. Dublin",N/A
2499,2,2,Apartment,"Springdale Road, Dublin 5, Raheny, Dublin 5",N/A
1750,0,0,Studio,"Daneswell Place, Glasnevin, Dublin 9",N/A
1500,0,0,Studio,"46 Phibsborough Road, Dublin 7, North Circular Road, Dublin 7",N/A
1700,1,1,Apartment,"101 Ranelagh, Dublin 6, Ranelagh, Dublin 6",N/A
2300,1,1,Apartment,"St. Patrick's Close, Dublin 2, Dublin 2",N/A
4650,3,4,House,"Belarmine / Enniskerry Road, Dublin 18, Stepaside, Dublin 18",N/A
1500,0,0,Studio,"4 Deerhaven Walk, Huntstown, Dublin 15, Huntstown, Dublin 15",N/A
1500,0,0,Studio,"North Circular Road, Dublin 7, North Circular Road, Dublin 7",N/A
2509,2,2,Apartment,"80 Southmede, Dundrum, Dublin 16",N/A
3850,2,1,Apartment,"Strand Road, Dublin 4, Sandymount, Dublin 4",N/A
2950,2,1,Apartment,"62 Beresford House, Custom House Square, I.F.S.C., Dublin 1, IFSC, Dublin 1",N/A
2500,2,1,Apartment,"Apartment Rathfarnham Gate,Rathfarnham,Dublin 14, Dublin 14",N/A
3200,3,3,House,"23 Domville Square, Dublin 18, Cherrywood, Co. Dublin",N/A
2500,2,2,Apartment,"Tolka Block, Prospect Hill, Glasnevin, Dublin 11",N/A
N/A,1,1,Apartment,"ASPEN STUDENT LIFE DUBLIN, Aspen Student Accomodation, Ballymun, Dublin 11",N/A
3700,2,2,Apartment,"38 Ballsbridge Gardens, Crampton Avenue, Dublin 4, Sandymount, Dublin 4",N/A
1675,1,1,Apartment,"86 Lower Rathmines Rd, Rathmines, Dublin 6",N/A
2090,1,1,Apartment,"Tenterfields Complex, South Brown st, Dublin 8",N/A
1900,1,1,Apartment,"Royal Canal Court, Ashtown, Dublin 15, Royal Canal Park, Dublin 15",N/A
2700,2,1,Apartment,"Apartment 23, Saint Cathryn'S Court, Newgrove Aven, Sandymount, Dublin 4",N/A
2309,1,1,Apartment,"Apartment 44, Roselawn, Knocksinna Court, Foxrock, Dublin 18",N/A
N/A,1,1,Apartment,"Boyne Court, Harold'S Cross Road, Dublin 6w, Harold's Cross, Dublin 6W",N/A
1850,1,1,Apartment,"Manor Street, Dublin 7, Arbour Hill, Dublin 7",N/A
6000,9,3,House,"Edgewood Lawns, Dublin 15, Ballycoolin, Dublin 15",N/A
2115,1,1,Apartment,"Dean Court, Christchurch, Dublin 8",N/A
N/A,3,2,Apartment,"Cedarmount, Stillorgan, Co. Dublin",N/A
2350,2,2,Apartment,"Apartment 42, The Willow, Parkview, Dublin 18, Stepaside, Dublin 18",N/A
3435,3,2,Apartment,"Parkgate Place Apartments, Parkgate Street, Dublin 8, Kilmainham, Dublin 8",N/A
3500,3,3,House,"11 Clay Farm Avenue, Dublin 18, Leopardstown, Dublin 18",N/A
2900,2,1,House,"Rose Cottage, Lower Road, Dublin 20",N/A
4500,4,3,House,"4 Eaton Way, Dublin 18, Shankill, Dublin 18",N/A
3800,3,2,House,"22 Saint Albans Road, Dublin 8, South Circular Road, Dublin 8",N/A
2450,2,2,Apartment,"Apt 166, Block 4, Parklands, Northwood, D09 F8W8, Santry, Dublin 9",N/A
2450,2,1,Apartment,"Apt 26, Henrietta Hall, D01 A780, Dublin 1",N/A
2350,2,2,Apartment,"Apt 49, The Crescent, D12 XW22, Park West, Dublin 12",N/A
3150,3,1,Apartment,"Apt 20, 52 Mountjoy Square South, D01 YW29, Dublin 1",N/A
2700,2,2,Apartment,"Danehill, Phoenix Park Avenue, Castleknock, Dublin 15",N/A
2540,1,1,Apartment,"Lower Baggot Street, Dublin 2",N/A
2500,2,2,Apartment,"Apartment, Block 3, Richmond Hall, Ballybough, Dublin 3",N/A
2800,2,1,Apartment,"Flat 1, 11 Percy Place, Dublin 4",N/A
2900,2,1,Apartment,"Flat 3, 11 Percy Place, Dublin 4",N/A
2500,1,1,Apartment,"Anglesea House, Ballsbridge, Dublin 4, Sandymount, Dublin 4",N/A
2750,2,1,House,"10 Ormond Square, Ormond Quay Upper, Dublin 7",N/A
2830,2,2,Apartment,"Ailesbury Oaks, Ballsbridge, Ballsbridge, Dublin 4",N/A
1935,0,0,Studio,"Fitzwilliam Street Upper, Dublin 2",N/A
1100,0,0,Studio,"Dunsoghly Estate, Dublin 11, Finglas, Dublin 11",N/A
505,6,2,House,"Manhattan House , The Triangle , Bird Avenue , Clonskeagh, Dublin 14",N/A
2250,1,1,Apartment,"St. Patrick's Close, Dublin 2",N/A
2900,2,1,Apartment,"Windmill Lane, Dublin 2",N/A
2000,2,1,Apartment,"Raheen Close,Dublin 24, Tallaght, Dublin 24",N/A
2350,1,1,Apartment,"Ely Place,Dublin 2, Dublin 2",N/A
1700,1,1,Apartment,"Clifden Court,Ellis Quay,Dublin 7, Arbour Hill, Dublin 7",N/A
1080,0,0,Studio,"North Strand Road, North Strand, Dublin 3",N/A
2400,1,1,Apartment,"St Raphaelas Road, Stillorgan , Kilmacud, Co. Dublin",N/A
3500,2,2,Apartment,"Anglesea House, Ballsbridge Court, Serpentine Avenue, Ballsbridge, Dublin 4, Sandymount, Dublin 4",N/A
2400,2,1,Apartment,"Liffey Street West, Dublin 7",N/A
3760,4,2,House,"Off North Circular Rd, Phibsborough, Dublin 7",N/A
4800,4,3,House,"Saval Park Gardens, Dalkey, Co. Dublin",N/A
4500,3,2,House,"11 The Dockyard, South Dock Street, Dublin 4",N/A
2900,2,2,Apartment,"The Bottle Works, Block A4, Dermot O'Hurley Avenue,Dublin 4, Irishtown, Dublin 4",N/A
N/A,0,0,Studio,"Templeogue Village Dublin 6w, Templeogue, Dublin 6W",N/A
3800,3,3,Apartment,"Apartment 37, The Stockyard, The Steelworks, Foley, Dublin 1",N/A
2600,3,3,House,"Hayworth mews, Ongar, Dublin 15",N/A
2000,1,1,Apartment,"Ivy Exchange,Parnell Street,Dublin 1, Dublin 1",N/A
1850,1,1,Apartment,"Shanganagh Vale, Cabinteely, Dublin 18",N/A
2600,2,2,Apartment,"Skelligs Court,Waterville,Dublin 15, Ballycoolin, Dublin 15",N/A
1790,1,1,Apartment,"Apartment 12 , Amiens Square, Amiens Street, Dubli, IFSC, Dublin 1",N/A
2200,1,1,Apartment,"Hybreasal House,South Circular Road,Dublin 8, Kilmainham, Dublin 8",N/A
10000,4,4,House,"Heytesbury Lane, Ballsbridge, Dublin 4",N/A
2400,2,1,House,"Ashworth Place, Harold's Cross, Dublin 6",N/A
2850,2,2,Apartment,"Harbour View, Crofton Road, Dun Laoghaire, Co. Dublin",N/A
2150,1,1,Apartment,"Apartment 410, Block J, Castleforbes Square, Castleforbes Rd, D01 ER86, IFSC, Dublin 1",N/A
2000,2,2,Apartment,"Cedarbrook Avenue, Cherry Orchard, Dublin 10",N/A
7829,5,3,House,"Otranto Place, Sandycove, Co. Dublin",N/A
1850,1,1,Apartment,"Timothy Crough House, Emmet Road, Inchicore , Dublin 8",N/A
950,1,1,House,"Sandymount Castle Drive, Dublin 4, Sandymount, Dublin 4",N/A
1554,1,1,Apartment,"Wellington Lodge, Serpentine Avenue, Ballsbridge, Dublin 4",N/A
2250,2,1,Apartment,"Anglers Rest, Beaver Row, Dublin 4, Donnybrook, Dublin 4",N/A
1800,1,1,Apartment,"15 Richmond Hill, Dublin 6, Ranelagh, Dublin 6",N/A
3500,3,2,House,"Northumberland Place, Grand Canal Dock, Dublin 4",N/A
3300,3,3,House,"Earlsfort Lane, Lucan, Co. Dublin",N/A
14500,1,1,Apartment,"Bolbrook, Tallaght, Dublin 24",N/A
8500,2,2,Apartment,"Apartment, The Templeton, Ballsbridge, Dublin 4",N/A
13441,3,2,Apartment,"Apartment, The Burbidge, Ballsbridge, Dublin 4",N/A
7500,2,2,Apartment,"Apartment, The Nicholson, Ballsbridge, Dublin 4",N/A
12000,3,3,Apartment,"Apartment, The Barrington, Ballsbridge, Dublin 4",N/A
2504,2,1,Apartment,"Apartment 1, 17 Stephen Street Upper, Dublin 8",N/A
2825,3,1,House,"255 Nutgrove Avenue, Churchtown, Churchtown, Dublin 14",N/A
3800,5,2,House,"30 Springfield Road, Templeogue, Templeogue, Dublin 6W",N/A
1957,2,1,Apartment,"Apt 64 The Cedars, Herbert Park, Ballsbridge, Dublin 4",N/A
1650,0,0,Studio,"Kincora House, Belvedere Place , Dublin 1",N/A
N/A,0,0,Studio,"Church Grove, Oldbawn, Dublin 24",N/A
2552,1,1,Apartment,"Apartment 9, Caldragh, Dalkey, Co. Dublin",N/A
1260,2,1,Apartment,"Dunawley Way, Clondalkin, Dublin 22",N/A
2700,3,3,House,"Woodford Meadows, Clondalkin, Dublin 22",N/A
1800,1,1,Apartment,"Apartment 7, 3 Queen Street, Dublin 7, Smithfield, Dublin 7",N/A
1750,1,1,Apartment,"37 Herberton Park, Dublin 8, Rialto, Dublin 8",N/A
1650,1,1,Apartment,"323 Harold Cross Road, Teranure, Harold's Cross, Dublin 6",N/A
900,1,1,Apartment,"harts corner, Glasnevin, Dublin 11",N/A
2750,3,2,Apartment,"Irishtown, Irishtown Road, Dublin 4",N/A
2200,1,1,Apartment,"Apartment 3 , 50/51 Patrick Street, Dun Laoghaire, Dun Laoghaire, Co. Dublin",N/A
3000,3,3,House,"18 Donnybrook Manor, Dublin 4, Donnybrook, Dublin 4",N/A
4000,3,3,House,"Albany Court, Killiney, Killiney, Co. Dublin",N/A
3000,4,3,House,"Stralem Terrace, Ongar, Dublin 15",N/A
1395,0,0,Studio,"North Circular Road, Dublin 7, North Circular Road, Dublin 7",N/A
1787,1,1,Apartment,"Apartment 14 Amiens Street, Dublin 1",N/A
1863,1,1,Apartment,"14 Amiens Street, Dublin 1",N/A
5000,4,2,House,"Belgrave Square West, Dublin 6, Rathmines, Dublin 6",N/A
3300,3,1,House,"13 Fortview Avenue, Dublin 3, Clontarf, Dublin 3",N/A
4000,4,2,House,"16 Carysfort Grove, Blackrock, Blackrock, Co. Dublin",N/A
2140,2,2,Apartment,"Apartment 61, Seabury, Sandymount, Dublin 4",N/A
1934,2,1,Apartment,"Westland Row, Dublin 2",N/A
2977,2,1,Apartment,"Wellington Road, Dublin 4, Ballsbridge, Dublin 4",N/A
2500,2,2,Apartment,"Scariff House,Waterville Terrace,Waterville,Dublin 15, Ballycoolin, Dublin 15",N/A
2679,2,2,Apartment,"Apartment 50, Roselawn, Knocksinna Court, Foxrock, Dublin 18",N/A
6250,2,2,Apartment,"Apartment, The Barrington, Ballsbridge, Dublin 4",N/A
3000,2,1,Apartment,"95 Shrewsbury, Dublin 4, Ballsbridge, Dublin 4",N/A
2250,2,1,Apartment,"34 Tenterfields, South Brown Street, D08 C9K8, Dublin 8",N/A
1900,0,0,Studio,"Apartment 19, 59 Pembroke Road, Ballsbridge, Dublin 4",N/A
2500,2,1,Apartment,"Apartment 110, Westland Square, Dublin 2",N/A
2100,2,2,Apartment,"Apartment 34, Garrison Mews, Cabinteely, Dublin 18",N/A
2341,2,1,House,"23 Saint John'S Drive, Dublin 22, Grange Castle, Co. Dublin",N/A
4500,4,1,House,"Rathdown Crescent, Dublin 6w, Terenure, Dublin 6W",N/A
2625,2,2,House,"4 The Orchard, Cherryfield Avenue Upper, Ranelagh, Dublin 6",N/A
1300,1,1,Apartment,"Flat 7, 3 Frankfort Avenue, Rathgar, Dublin 6",N/A
2750,2,1,House,"Belgrave Square West, Dublin 6, Rathmines, Dublin 6",N/A
3000,1,1,Apartment,"Brighton Vale, Monkstown, Co. Dublin",N/A
1709,1,1,Apartment,"Ballybough Road, Ballybough, Dublin 3",N/A
2750,2,2,House,"The Burgage, Dalkey, Co. Dublin",N/A
1836,1,1,Apartment,"Apartment 10, 37/38 Capel Street, Dublin 1",N/A
3250,2,2,Apartment,"The Pines, Herbert Park Lane, Ballsbridge, Dublin 4",N/A
2395,2,1,Apartment,"Apt 43, Amiens Square, Amiens Street, D01 TW30, Dublin 1",N/A
2500,3,1,House,"7 Avonmore Drive, Dublin 24, Tallaght, Dublin 24",N/A
1400,0,0,Studio,"37 Herberton Park, Dublin 8, Rialto, Dublin 8",N/A
2800,2,2,Apartment,"Hook Head, Custom House Harbour , Dublin 1",N/A
